Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2012;0.6067
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2013;0.6043000000000001
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2014;0.6009
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2015;0.6055
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2016;0.6054
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2017;0.6107
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2018;0.613
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2019;0.6127
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2020;0.6147
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2021;0.618
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2022;0.6175
Austria ;"shweal_p90p100_z_AT
Net personal wealth
Top 10% | share | adults | equal split
";p90p100;2023;0.6187
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2012;0.0185
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2013;0.0233
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2014;0.0263
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2015;0.0269
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2016;0.0287
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2017;0.0317
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2018;0.0315
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2019;0.0315
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2020;0.0315
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2021;0.0312
Austria ;"shweal_p0p50_z_AT
Net personal wealth
Bottom 50% | share | adults | equal split
";p0p50;2022;0.0313
